,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,APOLLO COML REAL EST FIN INC,COM,03762U105,14601,909674,SH,,SOLE,,909674,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
4,ALLY FINL INC,COM,02005N100,97195,4200300,SH,,OTR,1,0,4200300,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
5,ARCH COAL INC,COM,039380100,10571,4986100,SH,,OTR,1,0,4986100,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
6,BEAZER HOMES USA INC,COM,07556Q881,26453,1576468,SH,,OTR,1,0,1576468,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
7,BIOSCRIP INC,COM,09069N108,133,19212,SH,,OTR,1,0,19212,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
8,BLACKSTONE MTG TR INC,COM CL A,09257W100,66687,2460784,SH,,SOLE,,2460784,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
9,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,4173,178317,SH,,OTR,1,0,178317,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
10,BOULEVARD ACQUISITION CORP,UNIT 99/99/9999,10157P203,10140,1000000,SH,,OTR,1,0,1000000,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
11,BRIXMOR PPTY GROUP INC,COM,11120U105,3167747,142306696,SH,,SOLE,,142306696,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
12,CARA THERAPEUTICS INC,COM,140755109,203,24254,SH,,SOLE,,24254,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
13,CATALENT INC,COM,148806102,1846677,73778526,SH,,SOLE,,73778526,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
14,CASTLIGHT HEALTH INC,CL B,14862Q100,61,4682,SH,,SOLE,,4682,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
15,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,71103,2173087,SH,,OTR,1,0,2173087,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
16,CON-WAY INC,COM,205944101,71458,1504384,SH,,OTR,1,0,1504384,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
17,EASTMAN KODAK CO,COM NEW,277461406,181310,8252625,SH,,OTR,1,0,8252625,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
18,ELLINGTON RESIDENTIAL MTG REIT,COM SHS BEN INT,288578107,41375,2555599,SH,,SOLE,,2555599,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
19,ENLINK MIDSTREAM LLC,COM UNIT REP LTD,29336T100,206650,5000000,SH,,OTR,1,0,5000000,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
20,EPIZYME INC,COM,29428V104,14,520,SH,,SOLE,,520,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
21,EV ENERGY PARTNERS LP,COM UNITS,26926V107,1478,41663,SH,,SOLE,,41663,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
22,EVERYDAY HEALTH INC,COM,300415106,47,3379,SH,,SOLE,,3379,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
23,EXTENDED STAY AMER INC,UNIT 99/99/9999B,30224P200,1131486,47661592,SH,,SOLE,,47661592,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
24,FREESCALE SEMICONDUCTOR LTD,SHS,G3727Q101,3830554,196136895,SH,,OTR,,0,196136895,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
25,GOLAR LND LTD BERMUDA,COM,G9456A100,81008,1220000,SH,,OTR,1,0,1220000,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
26,HILTON WORLDWIDE HLDGS INC,COM,43300A104,15984691,648992744,SH,,SOLE,,648992744,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
27,HYPERION THERAPEUTICS INC,COM,44915N101,9,342,SH,,SOLE,,342,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
28,INTELSAT S A,COM,L5140P101,19050,1111433,SH,,SOLE,,1111433,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
29,ISTAR FINL INC,COM,45031U101,46638,3454668,SH,,OTR,1,0,3454668,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
30,ISTAR FINL INC,COM,45031U101,8100,600000,SH,Call,OTR,1,0,600000,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
31,KOSMOS ENERGY LTD,SHS,G5315B107,961663,96552512,SH,,SOLE,,96552512,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
32,LA QUINTA HLDGS INC,COM,50420D108,1557856,82035576,SH,,SOLE,,82035576,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
33,LAREDO PETROLEUM INC,COM,516806106,179,8000,SH,,SOLE,,8000,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
34,MICHAELS COS INC,COM,59408Q101,1423844,81455630,SH,,SOLE,,81455630,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
35,NIELSEN N V,COM,N63218106,765883,17276849,SH,,SOLE,,17276849,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
36,OCEAN RIG UDW INC,SHS,Y64354205,20563,1275619,SH,,OTR,1,0,1275619,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
37,ORBITZ WORLDWIDE INC,COM,68557K109,26554,3374052,SH,,SOLE,,3374052,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
38,PACIFIC BIOSCIENCES CALIF IN,COM,69404D108,11841,2411556,SH,,SOLE,,2411556,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
39,PBF ENERGY INC,CL A,69318G106,77064,3210988,SH,,SOLE,,3210988,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
40,PINNACLE ENTMT INC,COM,723456109,72102,2873750,SH,,OTR,1,0,2873750,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
41,PINNACLE FOODS INC,COM,72348P104,1474120,45149145,SH,,SOLE,,45149145,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
42,POLYPORE INTL INC,COM,73179V103,2415,62062,SH,,SOLE,,62062,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
43,RADIOSHACK CORP,COM,750438103,996,1006000,SH,Put,OTR,1,0,1006000,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
44,RETAILMENOT INC,COM SER 1,76132B106,35,2137,SH,,SOLE,,2137,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
45,SARATOGA RES INC TEX,COM,803521103,5664,4800000,SH,,OTR,1,0,4800000,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
46,SEAWORLD ENTMT INC,COM,81282V100,375025,19502063,SH,,SOLE,,19502063,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
47,SUNSTONE HOTEL INVS INC NEW,COM,867892101,55763,4034970,SH,,SOLE,,4034970,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
48,SYNCHRONOSS TECHNOLOGIES INC,COM,87157B103,15,337,SH,,SOLE,,337,0,0,cik_number_0001393818,Blackstone Inc,2014-09-30,Form 13F-HR-A
