,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE,Company cik,Company name,Period of report,File type
3,AMALGAMATED BK NEW YORK N Y,CLASS A,022663108,3799,196910,SH,,SOLE,,196910,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
4,AMERICOLD RLTY TR,COM,03064D108,18305,731619,SH,,SOLE,,731619,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
5,BJS WHSL CLUB HLDGS INC,COM,05550J101,16227,605930,SH,,SOLE,,605930,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
6,BLACKSTONE MTG TR INC,COM CL A,09257W100,169302,5052288,SH,,SOLE,,5727621,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
7,C&J ENERGY SVCS INC NEW,COM,12674R100,42029,2020635,SH,,OTR,1,0,2020635,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
8,CAESARS ENTMT CORP,COM,127686103,43583,4252048,SH,,OTR,2,0,4252048,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
9,CAESARS ENTMT CORP,COM,127686103,43583,4252048,SH,,SOLE,,4252048,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
10,CARBON BLACK INC,COM,14081R103,2935,138600,SH,,SOLE,,138600,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
11,CENTERPOINT ENERGY INC,COM,15189T107,15899,575000,SH,,SOLE,,575000,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
12,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,7931079,200990333,SH,,OTR,2,0,200990333,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
13,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,93545,2370632,SH,,OTR,1,0,2370632,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
14,COREPOINT LODGING INC,COM,21872L104,342058,17586537,SH,,SOLE,,17586537,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
15,DIGITAL RLTY TR INC,COM,253868103,5624,50000,SH,,SOLE,,50000,0,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
16,EASTMAN KODAK CO,COM NEW,277461406,27513,8875211,SH,,OTR,1,0,8875211,0,cik_number_0001393818,Blackstone Inc,2018-09-30,Form 13F-HR
